Time;Speaker;Quotes
00:00:00;Speaker 1;"""Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa."""
00:00:02;Speaker 2;"""Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus."""
00:00:07;Speaker 1;"""Donec quam felis, ultricies nec, pellentesque eu, pretium quis, sem. Nulla consequat massa quis enim. Donec pede justo, fringilla vel, aliquet nec, vulputate eget, arcu."""
00:00:13;Speaker 2;"""In enim justo, rhoncus ut, imperdiet a, venenatis vitae, justo."""
00:00:14;Speaker 1;"""Nullam dictum felis eu pede mollis pretium."""
00:00:25;Speaker 2;"""Integer tincidunt. Cras dapibus."""
00:03:04;Speaker 1;"""Ivamus elementum semper nisi. Aenean vulputate eleifend tellus. Aenean leo ligula, porttitor eu, consequat vitae, eleifend ac, enim."""
00:06:20;Speaker 2;"""Aliquam lorem ante, dapibus in, viverra quis, feugiat a, tellus. Phasellus viverra nulla ut metus varius laoreet. Quisque rutrum. Aenean imperdiet."""
00:23:05;Speaker 1;"""Etiam ultricies nisi vel augue. Curabitur ullamcorper ultricies nisi. Nam eget dui."""
00:30:22;Speaker 2;"""Etiam rhoncus. Maecenas tempus, tellus eget condimentum rhoncus, sem quam semper libero, sit amet adipiscing sem neque sed ipsum. Nam quam nunc, blandit vel, luctus pulvinar, hendrerit id, lorem."""
00:45:33;Speaker 1;"""Maecenas nec odio et ante tincidunt tempus. Donec vitae sapien ut libero venenatis faucibus."""
01:02:01;Speaker 2;" ""Nullam quis ante. Etiam sit amet orci eget eros faucibus tincidunt. Duis leo. Sed fringilla mauris sit amet nibh. Donec sodales sagittis magna."""
01:43:05;Speaker 1;"""Sed consequat, leo eget bibendum sodales, augue velit cursus nunc, quis gravida magna mi a libero. Fusce vulputate eleifend sapien. Vestibulum purus quam, scelerisque ut, mollis sed, nonummy id, metus. Nullam accumsan lorem in dui."""
02:57:09;Speaker 2;"""Cras ultricies mi eu turpis hendrerit fringilla. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; In ac dui quis mi consectetuer lacinia."""
03:00:00;Speaker 1;"""Nam pretium turpis et arcu.Duis arcu tortor, suscipit eget, imperdiet nec, imperdiet iaculis, ipsum. Sed aliquam ultrices mauris."""
